Name,Type,Calories,Proteins,Fats,Carbs,Meal_Type,Category
Hot tea (Garam Chai),Veg,16.14,0.39,0.53,2.58,Side,Beverage
Instant coffee,Veg,23.16,0.64,0.75,3.65,Side,Beverage
Espreso coffee,Veg,51.54,1.75,2.14,6.62,Side,Beverage
Iced tea,Veg,10.34,0.03,0.01,2.7,Side,Beverage
Fruit Punch (with fresh juices),Veg,36.12,0.14,0.03,9.38,Side,Beverage
Lemonade,Veg,20.8,0.03,0.01,5.48,Snack,Snack
Lem-o-gin,Veg,21.52,0.08,0.03,5.55,Snack,Snack
Cumin infused water (Jeere/Zeere ka pani),Veg,9.09,0.17,0.11,1.86,Side,Beverage
Coco pine cooler,Veg,32.75,0.56,1.0,5.72,Side,Beverage
Summer cooler,Veg,22.43,0.37,0.04,5.43,Side,Beverage
Hot cocoa,Veg,90.1,3.36,4.56,9.23,Snack,Snack
Cold coffee with ice cream,Veg,67.85,1.57,2.11,11.24,Snack,Snack
Banana milkshake (Kele milkshake),Veg,65.31,1.84,2.37,9.15,Side,Beverage
Mango milkshake (Aam milkshake),Veg,56.9,1.73,2.35,7.23,Side,Beverage
Pineapple milkshake (Ananas milkshake),Veg,55.72,1.66,2.23,7.62,Side,Beverage
Orange milkshake (Narangi milkshake),Veg,57.42,1.86,2.52,7.11,Side,Beverage
Egg nog,Non-Veg,97.14,4.78,5.11,8.15,Snack,Snack
Sweet Lassi (Meethi lassi),Veg,35.66,1.29,0.68,6.51,Snack,Snack
Cheese and chilli sandwich ,Veg,218.11,6.8,9.78,27.4,Snack,Snack
Egg sandwich (Ande ka sandwich),Non-Veg,285.96,8.69,15.8,29.16,Snack,Snack
Cucumber sandwich (Kheere ka sandwich),Veg,188.6,4.8,8.0,25.77,Snack,Snack
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Veg,257.71,8.2,12.8,29.1,Snack,Snack
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Veg,243.32,7.92,12.27,26.92,Snack,Snack
Chicken sandwich,Non-Veg,253.27,13.12,11.75,25.38,Snack,Snack
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Veg,291.43,9.53,16.14,28.54,Snack,Snack
Rainbow sandwich,Veg,272.75,7.75,12.54,34.26,Snack,Snack
Club sandwich ,Veg,235.32,7.31,15.12,18.51,Snack,Snack
Vegetarian club sandwich,Veg,198.33,5.45,11.33,19.68,Snack,Snack
Pin wheel sandwich,Veg,311.52,8.77,24.93,14.0,Snack,Snack
Carrot apple sandwich (Gajar aur seb ka sandwich),Veg,214.11,5.3,9.12,29.04,Snack,Snack
Salami sandwich,Non-Veg,255.59,8.7,15.51,21.54,Snack,Snack
Egg and tomato sandwich (Ande aur tamatar ka sandwich),Non-Veg,222.11,7.66,10.51,25.9,Snack,Snack
Sweet open sandwich,Veg,244.25,4.99,8.15,39.24,Snack,Snack
Mushroom and cheese sandwich (toasted),Veg,227.42,7.79,13.01,21.01,Snack,Snack
